Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,47.43266927,58.36467506,83.15097435,95.56192171,132.5715507,118.9001783,122.6065546,131.0110362,134.7188957,127.7008552,162.7290184,169.2163491,121.4145015,159.4317298,206.4605392,189.6792284,161.3216186,191.7344255,287.043173,342.909458,377.7052939,409.9767993,480.7345062,195.8314639,111.5047861,473.1927854,163.5913086,110.0974015,107.9527924,100,91.03744348,89.89300148,98.5255812,96.41680083,68.85894092,84.23285198,
Africa Eastern and Southern,AFE,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,23.27941877,24.53626929,26.6264062,29.46400927,38.46682409,33.06015209,38.85439915,27.5704283,24.92384436,22.74650307,25.91216074,17.05330237,11.37809622,11.59956768,10.38147466,5.011093681,8.558999801,7.82093174,5.983349443,13.1078298,15.22616283,21.96076196,31.74987521,27.20492977,28.18902052,31.99253127,35.53331568,39.13055582,39.10284589,43.20203706,66.74012818,84.35988458,117.4305131,110.7673512,100.081625,100,84.60772005,91.48159394,95.90352803,87.7495779,84.65302966,72.17528728,
Africa Western and Central,AFW,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,6.416873964,8.112657128,5.716025271,4.752720825,6.070799713,6.771648405,5.249115038,6.297971358,6.631478667,6.467141731,7.628133843,6.511609373,9.609022255,7.069388263,7.028304031,7.094345155,9.858626783,12.55041851,10.04710053,15.02474052,14.69128697,15.36302673,18.1708023,26.48297783,28.18407422,40.36721054,42.41915806,66.01897082,101.398876,109.5075966,80.54531909,97.75698333,114.6157184,127.2487127,138.1187373,100,63.02026109,69.89593863,76.34562624,68.27127077,46.11875273,57.00049235,
Albania,ALB,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.58490493,21.81414343,15.01990444,19.26620223,26.48685865,25.35556942,30.84303121,34.95258411,43.32998204,53.67057477,60.85299468,71.08038876,97.33480665,122.0453529,105.7612496,102.4120105,125.4169296,113.4840013,113.949146,121.3849161,100,107.2351623,122.5107716,137.7252514,137.0602392,129.4644557,179.399735,
Andorra,AND,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.26402314,82.03718212,82.03202257,82.25178138,83.37609265,78.218927,80.54598521,92.72025363,116.95551,136.1732508,139.2793535,138.1877245,148.8510308,149.9459233,124.4527152,119.0726892,125.0386384,109.5830452,114.951938,120.274015,100,104.6641878,114.2639368,124.3973469,121.1135866,112.0558814,140.8750026,
Arab World,ARB,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,3.276536251,3.72297428,3.326267017,2.977392402,2.494510451,2.481603229,2.583722131,2.687739155,3.235157216,3.800037987,4.251411131,5.218313904,6.609256879,7.410263887,7.981218646,9.026634864,11.6025269,12.94777002,12.37140809,12.04207169,13.29026273,14.15753571,16.19195798,19.768555,27.36418699,32.13684257,37.98421879,50.30041865,76.03904795,56.94387016,62.63825718,87.2881197,97.3846475,102.7187696,104.7862118,100,101.1990903,97.8421953,92.88970794,109.5018092,93.75279441,131.9310081,
Argentina,ARG,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,17.42824323,15.58648907,8.82485163,7.444031818,7.577238374,6.303677938,7.807953448,9.616984406,8.794772727,6.948556319,6.738830368,13.41591636,24.57826207,27.73786866,35.68183823,33.42194502,39.46816544,50.57750022,52.11753176,42.36883482,41.78058301,33.75134956,14.93231459,22.97815796,37.28128893,47.65169006,56.72618555,74.25629101,95.44340172,64.42288845,94.33186612,123.4437339,112.904576,123.6472054,109.1852836,100,92.76970353,111.1817955,108.7650527,81.59455193,70.34963875,104.949755,
